Time	Sum	Command
15	7528	> __fish_on_interactive
11	11	-> functions -e __fish_on_interactive
140	7502	-> __fish_config_interactive
357	362	--> source /home/linuxbrew/.linuxbrew/Cellar/fish/3.7.1/share/fish/functions/__fish_config_interactive.fish
5	5	---> function __fish_config_interactive -d "Initializations that should be performed when entering interactive mode"...
4	11	--> if not set -q __fish_initialized...
7	7	---> not set -q __fish_initialized
9	9	--> set -g __fish_active_key_bindings
4	4	--> function __init_uvar -d "Sets a universal variable if it's not already set"...
3	13	--> if test $__fish_initialized -lt 3400...
10	10	---> test $__fish_initialized -lt 3400
10	38	--> if not set -q FISH_UNIT_TESTS_RUNNING...
5	5	---> not set -q FISH_UNIT_TESTS_RUNNING
9	9	---> set -l script $__fish_data_dir/tools/create_manpage_completions.py
3	14	---> if not test -d $__fish_user_data_dir/generated_completions...
11	11	----> not test -d $__fish_user_data_dir/generated_completions
8	2894	--> if status --is-interactive...
4	4	---> status --is-interactive
21	64	---> functions -q fish_greeting
39	43	----> source /home/yoshimi/.config/fish/functions/fish_greeting.fish
4	4	-----> function fish_greeting -d "What's up, fish?"...
22	2818	---> fish_greeting
71	71	----> set_color $fish_color_autosuggestion
683	683	----> uname -nmsr
74	74	----> command -q uptime
1926	1926	----> command uptime
42	42	----> set_color normal
19	110	--> if test -d /etc/init.d...
14	14	---> test -d /etc/init.d
34	34	---> complete -x -p "/etc/init.d/*" -a start --description 'Start service'
12	12	---> complete -x -p "/etc/init.d/*" -a stop --description 'Stop service'
11	11	---> complete -x -p "/etc/init.d/*" -a status --description 'Print service status'
10	10	---> complete -x -p "/etc/init.d/*" -a restart --description 'Stop and then start service'
10	10	---> complete -x -p "/etc/init.d/*" -a reload --description 'Reload service configuration'
14	14	--> complete -c [ --wraps test
8	8	--> complete -c ! --wraps not
159	379	--> complete -c(builtin -n | string match -rv '(\.|:|source|cd|contains|count|echo|exec|printf|random|realpath|set|\\[|test|for)') --no-files
